target,nunique_train,best_kind_original,best_aug_original,acc_original,macro_f1_original,top3_acc_original,best_kind_improved,best_aug_improved,acc_improved,macro_f1_improved,top3_acc_improved,top3_acc_diff,top3_acc_improvement_pct
DATEMANUFACTURE,30,TransitionTable,raw,0.32,0.17927416511382357,0.6355555555555555,TransitionTable,raw,0.32,0.17927416511382355,0.64,0.004444444444444473,0.6993006993007038
OWNER,2,TransitionTable_UI,raw,0.8893805309734514,0.4707259953161593,,TransitionTable_UI,raw,0.8893805309734514,0.4707259953161593,,,
LOAI,6,TransitionTable,raw,0.9244444444444444,0.8294598555973239,0.9955555555555555,TransitionTable,raw,0.9244444444444444,0.8294598555973239,0.9955555555555555,0.0,0.0
U_TT,4,AUTO_FILL,NA,1.0,1.0,,AUTO_FILL,NA,1.0,1.0,,,
KIEU_DAPHQ,1,AUTO_FILL,NA,1.0,1.0,,AUTO_FILL,NA,1.0,1.0,,,
I_DM,5,TransitionTable,ros,0.6017699115044248,0.4646601141993651,0.9557522123893806,TransitionTable,ros,0.6017699115044248,0.4646601141993651,0.9557522123893806,0.0,0.0
U_DM,4,TransitionTable,raw,0.827433628318584,0.7642496054778399,1.0,TransitionTable,raw,0.827433628318584,0.7642496054778399,1.0,0.0,0.0
KIEU_CD,2,AUTO_FILL,NA,1.0,1.0,,AUTO_FILL,NA,1.0,1.0,,,
TG_CATNM,2,TransitionTable_UI,raw,0.9247787610619469,0.4804597701149425,,TransitionTable_UI,raw,0.9247787610619469,0.4804597701149425,,,
PHA,1,AUTO_FILL,NA,1.0,1.0,,AUTO_FILL,NA,1.0,1.0,,,
KIEU_MC,2,AUTO_FILL,NA,1.0,1.0,,AUTO_FILL,NA,1.0,1.0,,,
KNCDNMDM,5,TransitionTable,raw,0.8008849557522124,0.34375049897012566,0.9823008849557522,TransitionTable,raw,0.8008849557522124,0.34375049897012566,0.9823008849557522,0.0,0.0
CT_DC,1,AUTO_FILL,NA,1.0,1.0,,AUTO_FILL,NA,1.0,1.0,,,
